Generation,Tick,Population,AvgAge,AvgHealth,AvgWealth,AvgFood,AvgStamina,AvgWater,InfraRoads,InfraHousing,InfraFarms,InfraStorage,TotalBirths,TotalDeaths
0,150,9999,1622916.25,98.08,213.33,164646.64,97.68,5.15,0.00,0.00,0.00,0.00,21,0
0,315,9999,1623077.38,95.07,145.87,215643.25,97.14,5.30,0.00,0.00,0.00,0.00,30,0
0,475,9996,1623438.38,92.40,149.55,234339.38,96.76,5.15,0.00,0.00,0.00,0.00,32,0
0,650,9996,1623612.75,89.41,162.61,247397.39,96.41,5.04,0.00,0.00,0.00,0.00,39,0
0,805,9994,1623965.00,86.76,177.62,256050.56,96.10,4.89,0.00,0.00,0.00,0.00,48,0
0,990,9982,1625097.12,83.58,198.38,264699.59,95.71,4.75,0.00,0.00,0.00,0.00,51,0
0,1135,9079,1653348.25,89.52,213.93,228877.94,95.34,5.06,0.00,0.00,0.00,0.00,59,0
0,1300,8702,1689173.25,91.83,226.79,218081.75,94.88,5.16,0.00,0.00,0.00,0.00,67,0
0,1445,8504,1705310.88,92.89,240.01,212530.09,94.48,5.16,0.00,0.00,0.00,0.00,69,0
0,1610,8359,1717649.75,93.39,255.09,206984.38,94.03,5.20,0.00,0.00,0.00,0.00,75,0
0,1790,8207,1727226.25,93.92,272.24,200900.72,93.51,5.20,0.00,0.00,0.00,0.00,87,0
0,1960,8083,1740099.25,93.97,285.58,198064.84,93.02,5.41,0.00,0.00,0.00,0.00,93,0
0,2125,7965,1747343.88,94.05,301.37,193655.30,92.53,5.52,0.00,0.00,0.00,0.00,102,0
0,2300,7854,1756769.00,94.14,317.85,190293.97,91.99,5.57,0.00,0.00,0.00,0.00,107,0
0,2448,7767,1761797.75,94.22,334.59,187955.38,91.49,5.60,0.00,0.00,0.00,0.00,114,0
0,2608,7693,1767037.62,94.13,350.12,186187.81,90.96,5.60,0.00,0.00,0.00,0.00,117,0
0,2828,7552,1774152.88,94.57,373.10,184283.81,90.21,5.66,0.00,0.00,0.00,0.00,118,0
0,3068,7427,1783148.38,94.68,399.68,181928.42,89.36,5.66,0.00,0.00,0.00,0.00,120,0
0,3222,7344,1789549.00,94.86,414.43,179904.86,88.82,5.63,0.00,0.00,0.00,0.00,127,0
0,3486,7229,1802879.12,94.80,441.35,178289.22,87.92,5.56,0.00,0.00,0.00,0.00,130,0
0,3684,7160,1807328.88,94.55,463.45,176368.61,87.38,5.57,0.00,0.00,0.00,0.00,134,0
0,3981,6992,1819959.25,95.13,493.50,174598.08,86.60,5.46,0.00,0.00,0.00,0.00,137,0
0,4278,6896,1827760.75,94.78,527.56,174384.69,85.66,5.42,0.00,0.00,0.00,0.00,145,0
0,4542,6743,1834673.88,95.59,556.08,175041.91,84.87,5.35,0.00,0.00,0.00,0.00,140,0
0,4872,6622,1846345.75,96.10,596.11,173945.23,83.80,5.33,0.00,0.00,0.00,0.00,141,0
0,5136,6553,1853159.88,96.15,627.40,172501.56,82.97,5.30,0.00,0.00,0.00,0.00,149,0
0,5400,6476,1859279.50,96.29,657.07,170655.58,82.11,5.24,0.00,0.00,0.00,0.00,151,0
0,5730,6393,1867470.25,96.31,697.26,171227.16,81.08,5.16,0.00,0.00,0.00,0.00,155,0
0,5994,6332,1873742.00,96.35,732.06,169210.27,80.20,5.18,0.00,0.00,0.00,0.00,159,0
0,6291,6257,1881625.12,96.45,770.77,167627.42,79.22,5.10,0.00,0.00,0.00,0.00,164,0
0,6522,6205,1887355.25,96.46,794.96,167025.12,78.43,5.15,0.00,0.00,0.00,0.00,167,0
